Date,Home,Away,Score,Referee
2025-05-26,Hatayspor,Fenerbahçe,4–2,Yiğit Arslan
2025-05-30,Galatasaray,Başakşehir,2–0,Abdullah Taşkınsoy
2025-05-30,Kasımpaşa,Göztepe,1–2,Sarper Barış Saka
2025-05-30,Antalyaspor,Trabzonspor,0–2,Ali Yılmaz
2025-05-31,Rizespor,Hatayspor,5–2,Alper Akarsu
2025-05-31,Fenerbahçe,Konyaspor,2–1,Oğuzhan Çakir
2025-05-31,Alanyaspor,Sivasspor,2–0,Kadir Sağlam
2025-05-31,Adana Demirspor,Gaziantep FK,2–2,Alpaslan Şen
2025-06-01,BB Bodrumspor,Beşiktaş,0–4,Cihan Aydın
2025-06-01,Samsunspor,Kayserispor,2–1,Atilla Karaoğlan
2021-08-13,Beşiktaş,Rizespor,3–0,Zorbay Küçük
2021-08-14,Fatih Karagümrük,Gaziantep FK,3–2,Cüneyt Çakιr
2021-08-14,Altay,Kayserispor,3–0,Suat Arslanboga
2021-08-14,Hatayspor,Kasımpaşa,1–1,Arda Kardeşler
2021-08-15,Başakşehir,Alanyaspor,0–1,Yaşar Kemal Uğurlu
2021-08-15,Adana Demirspor,Fenerbahçe,0–1,Ali Şansalan
2021-08-15,Antalyaspor,Göztepe,1–1,Yasin Kol
2021-08-16,Yeni Mal'spor,Trabzonspor,1–5,Atilla Karaoğlan
2021-08-16,Sivasspor,Konyaspor,0–1,Fırat Aydınus
2021-08-16,Giresunspor,Galatasaray,0–2,Erkan Özdamar
2021-08-20,Kayserispor,Adana Demirspor,1–1,Tugay Kaan Numanoğlu
2021-08-21,Rizespor,Fatih Karagümrük,0–0,Volkan Bayarslan
2021-08-21,Kasımpaşa,Giresunspor,2–0,Ali Palabıyık
2021-08-21,Gaziantep FK,Beşiktaş,0–0,Umit Öztürk
2021-08-21,Alanyaspor,Altay,1–4,Mete Kalkavan
2021-08-22,Konyaspor,Başakşehir,2–1,Halis Özkahya
2021-08-22,Fenerbahçe,Antalyaspor,2–0,Halil Umut Meler
2021-08-22,Göztepe,Yeni Mal'spor,0–1,Bahattin Şimşek
2021-08-23,Trabzonspor,Sivasspor,2–1,Abdulkadir Bitigen
2021-08-23,Galatasaray,Hatayspor,2–1,Hüseyin Göçek
2021-08-27,Antalyaspor,Rizespor,3–2,Özgür Yankaya
2021-08-27,Adana Demirspor,Konyaspor,1–1,Alper Ulusoy
2021-08-28,Yeni Mal'spor,Gaziantep FK,2–0,Sarper Barış Saka
2021-08-28,Başakşehir,Kayserispor,0–1,Mustafa Öğretmenoğlu
2021-08-28,Hatayspor,Alanyaspor,5–0,Mert Güzenge
