STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-02,,152.7,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-03,,153.3,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-04,,154.0,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-05,,154.2,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-06,,154.3,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-07,,154.9,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-08,,155.0,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-09,,155.4,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2025-10,,155.8,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,FR,France,2015-01,,114.14,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,FR,France,2015-02,,114.98,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,FR,France,2015-03,,115.85,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,FR,France,2015-04,,116.00,,,,,
